,Unnamed: 0,Orden,Expediente,Caratula,Fecha
0,0,1,1001/14,A.................... S/ACCION DE AMPARO,17-12-2021
1,1,2,914/18,A.................... S/ALIMENTOS,17-12-2021
2,2,3,280/21-S,A.................... S/CONTROL DE LEGALIDAD,17-12-2021
3,3,4,312/21-S,A.................... S/CONTROL DE LEGALIDAD,17-12-2021
4,4,5,330/21-C,A.................... S/MEDIDA CAUTELAR,17-12-2021
5,5,6,140/19,A.................... S/VIOLENCIA FAMILIAR,17-12-2021
6,6,7,369/20,A.................... S/VIOLENCIA FAMILIAR,17-12-2021
7,7,8,1728/19,B.................... S/DIVORCIO,17-12-2021
8,8,9,1368/16,B.................... S/DIVORCIO VINCULAR,17-12-2021
9,9,10,347/20,C.................... S/ELEVA ACTUACIONES,17-12-2021
10,10,11,647/20,C.................... S/ELEVA ACTUACIONES,17-12-2021
11,11,12,249/21-C,C.................... S/HOMOLOGACION DE CONVENIO,17-12-2021
12,12,13,352/21-S,C.................... S/VIOLENCIA DE GENERO,17-12-2021
13,13,14,364/21-S,C.................... S/VIOLENCIA DE GENERO,17-12-2021
14,14,15,413/20,C.................... S/VIOLENCIA FAMILIAR,17-12-2021
15,15,16,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
16,16,17,358/21-C,D.................... S/EJECUCION DE HONORARIOS,17-12-2021
17,17,18,53/21-C,D.................... S/EJECUCION DE HONORARIOS,17-12-2021
18,18,19,223/21-OF,D.................... S/OFICIO,17-12-2021
19,19,20,234/21-OF,D.................... S/OFICIO,17-12-2021
20,20,21,294/21-C,D.................... S/PRESENTACION,17-12-2021
21,21,22,315/21-C,F.................... S/ADOPCION PLENA,17-12-2021
22,22,23,257/21-C,F.................... S/CUIDADO PERSONAL,17-12-2021
23,23,24,405/20,F.................... S/DIVORCIO,17-12-2021
24,24,25,290/21-C,F.................... S/HOMOLOGACION DE CONVENIO,17-12-2021
25,25,26,1678/19,F.................... S/VIOLENCIA FAMILIAR,17-12-2021
26,26,27,1581/19,G.................... S/DIVORCIO,17-12-2021
27,27,28,387/20,G.................... S/DIVORCIO,17-12-2021
28,28,29,763/20,G.................... S/INCIDENTE,17-12-2021
29,29,30,240/21-C,G.................... S/MEDIDA CAUTELAR,17-12-2021
30,30,31,766/20,G.................... S/VIOLENCIA DE GENERO,17-12-2021
31,31,32,822/20,G.................... S/VIOLENCIA DE GENERO,17-12-2021
32,32,33,268/14,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
33,33,34,485/17,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
34,34,35,1309/18,H.................... S/INCIDENTE,17-12-2021
35,35,36,398/19,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
36,36,37,348/21-C,L.................... S/BENEFICIO DE LITIGAR SIN GASTOS,17-12-2021
37,37,38,815/20,L.................... S/DIVORCIO,17-12-2021
38,38,39,382/20,M.................... S/FILIACION Y DAÑO MORAL,17-12-2021
39,39,40,363/21-C,M.................... S/HOMOLOGACION DE CONVENIO,17-12-2021
40,40,41,508/19,M.................... S/PROTECCION INTEGRAL,17-12-2021
41,41,42,219/20,M.................... S/VIOLENCIA FAMILIAR,17-12-2021
42,42,43,454/20,N.................... S/RECTIFICACION DE PARTIDA,17-12-2021
43,43,44,210/21-C,O.................... S/DIVORCIO,17-12-2021
44,44,45,351/21-C,O.................... S/INCIDENTE,17-12-2021
45,45,46,138/21-P,O.................... S/JUICIO ORDINARIO,17-12-2021
46,46,47,350/21-C,P.................... S/INFORMACION SUMARIA,17-12-2021
47,47,48,219/21-C,R.................... S/.INCIDENTE DE LEVANTAMIENTO DE,17-12-2021
48,48,49,215/21-C,R.................... S/INCIDENTE DE MODIFICACION DE,17-12-2021
49,49,50,252/21-C,R.................... S/MEDIDA CAUTELAR,17-12-2021
50,50,51,96/21-S,R.................... S/VIOLENCIA DE GENERO,17-12-2021
51,51,52,1281/19,R.................... S/VIOLENCIA FAMILIAR,17-12-2021
52,52,53,595/20,R.................... S/VIOLENCIA FAMILIAR,17-12-2021
53,53,54,249/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
54,54,55,1297/14,S.................... S/ALIMENTOS,17-12-2021
55,55,56,631/16,S.................... S/ALIMENTOS,17-12-2021
56,56,57,960/20,S.................... S/DIVORCIO,17-12-2021
57,57,58,619/20,S.................... S/VIOLENCIA FAMILIAR,17-12-2021
58,58,59,826/20,S.................... S/VIOLENCIA FAMILIAR,17-12-2021
59,59,60,69/17,S.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,17-12-2021
60,60,61,126/14,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
61,61,62,617/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
62,62,63,01/14,S.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,17-12-2021
63,63,64,1750/19,T.................... S/DIVORCIO,17-12-2021
